PDF_File,Well_File_No,Well_Name,API_No,Scraped_API,Scraped_Operator,Scraped_Location,Scraped_Status,Oil_Produced,Gas_Produced
W28649.pdf,N/A,N/A,N/A,,,,,,
W11745.pdf,11745,Basic Game & Fish 34-3H,N/A,,,,,,
W20407.pdf,N/A,N/A,N/A,,,,,,
W28648.pdf,28648,N/A,N/A,,,,,,
W90258.pdf,90258,N/A,N/A,,,,,,
W30789.pdf,30789,N/A,N/A,,,,,,
W28303.pdf,2016,N/A,N/A,,,,,,
W90329.pdf,2020,N/A,N/A,,,,,,
W28658.pdf,28658,N/A,N/A,,,,,,
W25156.pdf,25156,Columbus Federal 1-16H,N/A,33-053-04852,"CONTINENTAL RESOURCES, INC.","McKenzie County, ND",Active,2025,
W30188.pdf,N/A,N/A,33-053-06548,33-053-06548,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",Active,2025,
W30189.pdf,9573,N/A,N/A,,,,,,
W25157.pdf,25157,N/A,N/A,,,,,,
